productid,date,state,market size,product type,caffeine type,sales,cogs,total expesense,marketing,inventory,budget cogs,budget sales
2,2010-01-01,Washington,Small Market,Coffee,Regular,130,53,39,16,338,60,160
6,2010-01-01,Washington,Small Market,Espresso,Decaf,150,69,42,21,965,60,140
8,2010-01-01,Washington,Small Market,Herbal Tea,Decaf,310,124,71,40,961,100,270
6,2010-01-01,California,Major Market,Espresso,Decaf,546,234,109,77,1310,220,520
12,2010-01-01,Ohio,Major Market,Tea,Regular,200,84,49,26,500,70,170
2,2010-01-01,Illinois,Major Market,Coffee,Regular,345,144,90,47,862,150,360
11,2010-01-01,Illinois,Major Market,Tea,Regular,134,54,27,15,456,40,110
2,2010-01-01,Louisiana,Small Market,Coffee,Regular,85,34,21,9,777,40,100
5,2010-01-01,Florida,Major Market,Espresso,Regular,190,79,102,72,551,70,180
9,2010-01-01,Florida,Major Market,Herbal Tea,Decaf,120,54,53,20,312,40,90
5,2010-01-01,Washington,Small Market,Espresso,Regular,120,54,53,20,312,50,110
12,2010-01-01,Washington,Small Market,Tea,Regular,150,61,41,19,390,40,100
9,2010-01-01,Texas,Major Market,Herbal Tea,Decaf,140,57,41,18,364,50,130
1,2010-01-01,Wisconsin,Small Market,Coffee,Regular,120,54,53,20,312,50,120
2,2010-01-01,Wisconsin,Small Market,Coffee,Regular,190,79,102,72,551,80,190
6,2010-01-01,Wisconsin,Small Market,Espresso,Decaf,110,48,28,15,623,50,120
12,2010-01-01,Wisconsin,Small Market,Tea,Regular,180,75,98,68,522,60,150
8,2010-01-01,Texas,Major Market,Herbal Tea,Decaf,140,60,47,19,336,50,130
13,2010-01-01,Colorado,Major Market,Tea,Regular,100,44,26,14,623,30,80
5,2010-01-01,Colorado,Major Market,Espresso,Regular,134,54,26,15,456,60,150
12,2010-01-01,Colorado,Major Market,Tea,Regular,140,64,40,19,965,50,120
3,2010-01-01,Illinois,Major Market,Coffee,Decaf,234,95,52,30,608,100,240
5,2010-01-01,Illinois,Major Market,Espresso,Regular,546,234,109,77,1310,270,640
9,2010-01-01,California,Major Market,Herbal Tea,Decaf,452,207,85,64,965,170,390
